,accuracy,precision,recall,f1
109,0.7363636363636363,0.7519104084321476,0.7363636363636363,0.7319419761525024
110,0.7194570135746606,0.7518853695324285,0.7194570135746606,0.7148797545400504
111,0.775,0.7952571217166112,0.775,0.7728063054290263
112,0.7328042328042328,0.7547746658057626,0.7328042328042328,0.7278650260092124
113,0.8620689655172413,0.8897011249172855,0.8620689655172413,0.8647677357460279
114,0.8374384236453202,0.8500104248158401,0.8374384236453202,0.8360779010886401
115,0.7427184466019418,0.7613219510422357,0.7427184466019418,0.736653055366264
116,0.6859903381642513,0.7025842576682664,0.6859903381642513,0.682649379714429
118,0.9418604651162791,0.9453544671595391,0.9418604651162791,0.9415944541371523
119,0.8390804597701149,0.8545485140312726,0.8390804597701149,0.8336742875960942
120,0.813953488372093,0.8319457150346938,0.813953488372093,0.8083837917370349
121,0.7761904761904762,0.8058857872650976,0.7761904761904762,0.7759805194805195
123,0.8716814159292036,0.8890293737986983,0.8716814159292036,0.8647708527727888
124,0.8764044943820225,0.8961305791842963,0.8764044943820225,0.8778888034156269
125,0.7380952380952381,0.7576484158930968,0.7380952380952381,0.7352877984915067
126,0.8442211055276382,0.866773571009034,0.8442211055276382,0.8420276349153206
127,0.828125,0.8428587242774539,0.828125,0.824062150423902
128,0.8514851485148515,0.8724745150640307,0.8514851485148515,0.8498386190918904
129,0.8861386138613861,0.8915593328387582,0.8861386138613861,0.8858566341316472
132,0.8524590163934426,0.8637324272570174,0.8524590163934426,0.8497561889331312
133,0.8616352201257862,0.8713530525311474,0.8616352201257862,0.8599287032617247
134,0.8259109311740891,0.8397094818964899,0.8259109311740891,0.8245334967678782
136,0.94375,0.9507507507507509,0.94375,0.943782719203712
137,0.8851351351351351,0.8983049608049608,0.8851351351351351,0.8835672099056748
138,0.815,0.84173080923653,0.815,0.808251354464661
139,0.8195876288659794,0.8376150746297855,0.8195876288659794,0.8147773931407616
140,0.7242990654205608,0.7489342515166421,0.7242990654205608,0.7196583252096924
141,0.8159509202453987,0.8358544623316986,0.8159509202453987,0.8117254640283331
142,0.8173076923076923,0.8461893127364438,0.8173076923076923,0.8126704759310671
143,0.7168674698795181,0.7503469632671925,0.7168674698795181,0.7144104833529987
144,0.7946428571428571,0.8244805835355243,0.7946428571428571,0.7948277652530009
145,0.9123505976095617,0.9198914599679788,0.9123505976095617,0.9119110973498147
146,0.7566539923954373,0.7743683405020505,0.7566539923954373,0.7533627354848089
147,0.8260869565217391,0.8470363294092782,0.8260869565217391,0.821211662513721
148,0.6917562724014337,0.7073787562780779,0.6917562724014337,0.6886222856328387
149,0.8477508650519031,0.8621856444300393,0.8477508650519031,0.8447726341467592
151,0.8305084745762712,0.8424892180164192,0.8305084745762712,0.8286314214190309
